,Site,Lat,Lon,Elevation_m,Coordinates,geometry
0,GSLOOK,44.210278,-122.257222,428,POINT (-122.257222 44.210278),POINT (559087.5767993991 4895151.589898893)
1,GSMACK,44.219444,-122.167222,758,POINT (-122.167222 44.219444),POINT (559087.5767993991 4895151.589898893)
