at_gw1,at_gw2,at_gw3,window,rip,gw1,gw2,gw3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.612063899,0.235343106,0.281902097,8,1.301944807,0.605465016,1.045494674,1.20478364,0.771813034,3.004712331,0.623230271,-2.208541127,0.307119716,-3.790547546
0.342227592,0.325068879,0.426411142,4,0.906288412,0.949269799,1.196327282,1.344731792,1.121985432,2.190549051,-0.90023394,-2.957008122,1.375561021,-0.389301534
0.181444241,0.220291731,0.947473136,2,1.331273361,0.53071022,1.096388521,0.708168079,1.682896913,3.523525333,-1.641160742,-3.103334431,-1.649011009,-3.955459226
0.174318565,0.283213066,0.562425639,12,0.906630547,0.817460034,1.73782718,0.982636561,1.629285085,2.584424921,-2.089238504,-3.553116317,0.84522008,-0.607257735
0.178415025,0.302955056,0.764964702,8,1.193567926,1.064625702,1.342814679,0.837125157,1.79556824,3.500350907,-1.685875629,-2.9912817,-1.892617883,-4.078083143
0.263201679,0.628312715,0.587202586,13,0.954891315,0.807671413,1.782307149,0.94451889,1.274689312,1.923414256,-1.590949916,-2.42166837,0.478378346,-0.713411248
0.69500721,0.408123227,0.48554324,6,0.56896704,0.775128923,1.742796704,1.533642573,3.500235542,2.2726638,0.662735253,-2.182443734,5.670103058,2.994326662
0.463408132,0.190870116,0.473541741,3,1.830394961,1.859518396,1.343919237,1.482583211,0.555422621,3.115038514,0.080318614,-2.265275159,-0.503373428,-3.928383592
0.583735725,0.135026766,0.573486894,12,1.74425094,1.261382909,0.806932948,1.346857171,0.552565766,2.986452921,0.267766263,-2.199939487,-0.26085172,-3.74129946
0.76525739,0.107057241,0.784772408,3,1.393450046,1.097830513,0.723558149,0.887767762,1.917504638,2.064156274,1.752168448,-0.988628513,1.455446013,-2.72725679
0.705754776,0.694987855,0.374497675,10,1.923349229,0.696522142,0.563826306,1.199255178,1.115273725,2.315539026,0.993202474,-1.394876443,0.64838511,-3.021312173
0.140827989,0.037146618,0.335777138,11,1.327789399,1.08625286,1.118523789,1.033994184,2.020558753,4.336930043,-1.927318495,-3.900784322,-2.095006671,-4.857304395
0.612069468,0.098139866,0.384136468,4,1.941387312,1.52631944,1.682897381,0.794137684,0.966886646,3.204704414,0.930936332,-2.348855359,0.383737082,-4.033992063
0.3084072,0.372086955,0.905039453,5,0.687396522,1.990233757,1.982128322,0.736649082,1.477298976,2.345596212,-1.258007977,-2.958802376,1.952997167,2.104387665
0.469946841,0.618573341,0.185912781,10,1.566496512,1.845791793,1.373701738,1.981602335,0.597661375,3.05535379,-0.165744908,-2.104145203,-0.79169512,-3.955893799
0.337522389,0.468274047,0.135548704,3,1.631812582,1.767879463,1.908269893,1.168205072,0.968484587,3.195950809,-0.658112166,-2.335575765,-1.173508189,-4.014086468
0.851461366,0.627561172,0.966100978,3,1.181768415,1.898287702,1.939520676,1.362198181,2.455855847,1.278681546,2.29063095,0.623377367,1.9485267,-1.531104968
0.839073825,0.050784518,0.757342043,11,1.933463467,1.998942016,1.97563833,1.385492664,1.717955306,2.696332453,1.711843887,-1.673788337,1.100668848,-3.637695807
0.533599871,0.741186479,0.528486708,5,0.994409893,0.663497785,1.447083113,0.883728761,1.030948654,1.20025977,0.272026055,-1.148836529,1.282634133,-0.592096945
0.760017295,0.268021578,0.915923378,9,1.847558354,0.664921971,1.246586328,1.593635368,1.463196078,1.9211209,1.357579762,-0.840199202,1.074530688,-2.689516085
0.207888054,0.992475689,0.441411533,4,0.958132687,1.105673982,1.025065587,1.403747242,1.304006547,1.752208708,-1.618375942,-2.193907455,0.131338084,-0.541986478
0.704978291,0.103429819,0.984337734,9,1.01320916,0.507611919,1.012591844,1.152269252,1.524756336,1.506326325,0.966603303,-1.566985912,1.703467228,-1.118859845
0.629775844,0.960468445,0.979965326,10,1.395704455,1.822889133,1.358656486,1.013369646,0.748877705,1.478868975,0.676048006,-0.129240696,0.050536598,-2.114646016
0.949894218,0.8596175,0.54329351,5,1.212852097,1.015057095,1.305367866,1.740287817,2.941492068,1.432258842,2.809635178,0.635889478,2.636148836,-1.192166857
0.437894769,0.546206869,0.726406715,8,0.520020091,1.86905342,1.622497545,0.75356995,2.079509684,2.86077336,-0.842216618,-2.926135141,3.439419828,3.814398563
0.573568472,0.833971114,0.49980197,8,1.925478205,1.634544077,1.282670861,1.726633563,0.594634713,2.00115333,0.490305501,-0.874303701,-0.081018172,-2.885296403
0.751980975,0.98506904,0.679554644,4,1.307413027,0.96947462,1.964914739,1.766802197,1.769714118,1.272494792,1.699503977,0.943149975,1.354357712,-1.232278779
0.554402789,0.398820644,0.397305559,7,1.853830629,1.743234617,1.065523985,1.043004522,0.580687196,2.792470899,0.455907416,-1.92236467,-0.139017466,-3.596082727
0.575642564,0.276279232,0.954073325,3,1.906020672,1.79667846,0.574595738,0.518986052,0.84782278,2.516581599,0.71922354,-1.673806757,0.158748814,-3.201932983
0.388413893,0.967793811,0.85861035,13,1.787156888,1.382521182,1.16461211,1.190545111,1.002731061,2.18328506,-0.757514896,-1.300808969,-1.210050525,-2.898074829
0.093718015,0.017835609,0.271881637,3,1.565073233,0.799768747,1.261266994,1.877869906,2.136551211,4.299883879,-2.099634448,-3.766530503,-2.1285966,-4.913163731
0.576020642,0.752189227,0.731333126,9,1.312107495,1.855736315,1.187308713,1.261881356,0.576543552,1.971601783,0.458187178,-0.901061415,-0.167902385,-2.798134371
0.569109146,0.948311221,0.219018531,3,1.524998275,1.695697016,1.988317594,0.566373058,0.81908233,1.465933099,0.677490546,0.003337243,0.130908091,-2.08661513
0.586863767,0.368755448,0.922138476,2,1.278467036,1.659193727,0.725715598,0.825470578,1.024705273,2.291373192,0.712159722,-1.346827162,0.235820594,-2.949345302
0.277242657,0.139382132,0.131698223,13,1.214432588,0.725399958,1.115654722,1.927455833,1.430894058,4.170232364,-1.334309009,-3.568409585,-1.495453536,-4.837318662
0.159882007,0.527556882,0.158116012,13,0.896663001,1.70223916,0.856469722,0.661166137,1.640986167,2.901789986,-2.086701535,-4.090365346,-0.022243633,-0.400554307
0.312995991,0.009769763,0.253232854,13,0.853687819,1.858372134,1.126306096,0.74873167,1.166842255,3.044999987,-1.344325293,-4.307376009,0.724177223,-0.25692858
0.12039561,0.952725997,0.339509472,6,1.119844379,0.839883389,1.952367626,1.133782312,2.025619007,2.104955798,-1.969796058,-1.330325482,-2.041551196,-2.803287694
0.535308774,0.218439697,0.052163883,4,1.93208913,1.895208067,0.708521963,1.399317624,0.614003449,3.376131302,0.506905197,-2.547246264,-0.126834669,-4.183610709
0.30016821,0.442364256,0.302851056,9,0.937228925,1.940723296,1.668527816,1.406553323,1.001287832,2.366705083,-1.165753464,-2.846363992,-0.001319051,-1.224756414
0.208846209,0.045216839,0.400970513,11,0.730261946,0.508525249,0.866644083,1.603935533,2.443365834,3.009438209,-2.28776975,-4.651123812,3.462011156,1.441094194
0.82848783,0.651315226,0.545478279,2,1.865807806,0.506551557,0.504892512,0.52872434,2.391979037,1.709958224,1.985674299,-0.364401197,1.925176814,-1.95164599
0.88406605,0.553214969,0.128803411,4,1.572916486,1.716269057,1.059170265,1.484033027,2.586583668,1.98153126,2.519443464,-0.66839287,2.135286564,-2.619947694
0.835140689,0.110057515,0.745482067,4,0.597238084,1.35935562,1.153648193,0.766076995,3.690252037,2.474728493,1.774046816,-1.972650696,5.242897084,3.493161792
0.904879673,0.183945263,0.671308135,6,1.241638882,1.67878563,1.871800816,1.208006121,2.585030095,2.170172109,2.525561858,-0.999279083,2.124759547,-2.96209886
0.829745148,0.115006576,0.927883224,9,1.19034899,0.729217902,0.819415321,0.793539932,1.850090294,2.063319963,1.736945992,-1.094125533,1.483674626,-2.640131124
0.416103711,0.032326726,0.825132806,10,1.788637621,0.7814183,1.781420646,0.547077794,0.753058801,3.727017839,-0.515442935,-3.126982893,-0.845107144,-4.372481404
0.633544215,0.964850741,0.896353995,12,0.999901485,1.67449507,1.033227428,1.408251236,0.888229589,0.979043426,0.471098165,-0.603251099,0.776808596,-0.472549362
0.475707379,0.391020278,0.959981199,6,0.971926894,0.637057019,1.88886579,1.532991987,0.966657183,1.258733351,-0.141906146,-1.321947098,1.311005005,-0.552833907
0.616115586,0.048286243,0.286819731,4,1.356843981,1.033329871,0.704478906,1.656798867,0.996060415,3.002007759,0.921313546,-2.131367282,0.476296346,-3.816677452
0.952957151,0.433314174,0.111551887,13,1.756863519,0.850355175,1.870366125,0.830428863,2.122386067,2.369141111,1.984625414,-1.285521291,1.68859635,-3.080083166
0.565692471,0.064004706,0.486659014,5,0.838369481,1.851629827,0.686322339,0.727517363,1.458512786,2.043490065,0.439325977,-2.762576146,2.079446607,0.824140231
0.189102191,0.454502566,0.217204292,7,1.997729168,1.459252881,1.5625432,1.570668783,1.761321257,3.594655401,-1.588423446,-2.885859732,-1.933056696,-4.33319578
0.588939901,0.323434757,0.663769233,5,1.317031414,1.25281492,0.903629255,1.356989587,0.820647452,2.394871684,0.74577754,-1.456201559,0.245462788,-3.181369783
0.369836717,0.355859413,0.484775817,8,1.876480702,1.881950801,1.764650945,1.105311729,0.91448887,3.162816664,-0.610581643,-2.36182813,-1.186591911,-3.958321642
0.685043683,0.301672272,0.10333519,11,0.516023098,1.351572453,0.855409893,1.633360904,2.964572691,2.772849279,0.254765052,-3.503350735,4.859134906,3.008720644
0.073504384,0.023083101,0.872451252,12,0.595257479,0.567400234,0.997773389,1.682771369,3.268869359,3.356283804,-3.386007561,-4.91557061,4.449887745,3.061235407
0.159269597,0.159585435,0.195788774,4,1.97133523,1.270557985,0.741610609,1.627137247,1.859114174,4.208675204,-1.710733828,-3.69427885,-1.977991774,-4.792977836
0.85806867,0.084508697,0.711804663,7,0.565427325,1.239562201,1.340207702,1.116606225,3.78598603,2.439195381,1.655260576,-2.186632046,5.560040834,3.349398669
0.592748653,0.475418077,0.939766707,5,0.873771418,1.02936306,1.599971262,0.857695939,1.741333105,1.316028588,0.530093971,-1.386968901,2.551714321,0.900081946
