at_gw1,at_gw2,at_gw3,window,rip,hyp_lag,hyp_frac1,hyp_frac2,hyp_frac3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.786268803,0.731639224,0.045758257,13,1.839457391,15,0.333898656,0.558490707,0.714445818,1.234765332,2.76688828,1.285156936,-0.933611056,0.409745573,-4.245546918
0.99611158,0.959059013,0.231468002,6,1.79361929,23,0.173767962,0.200744744,0.851962595,3.089950705,1.833365839,3.036154101,0.4093242,2.610492792,-2.77202829
0.109988964,0.123832041,0.226639258,13,1.287164181,7,0.017825589,0.834943187,0.01003334,2.169583788,4.392076776,-2.094305222,-3.361340347,-2.228558484,-5.511783548
0.807063539,0.709136264,0.525921626,13,0.622798175,7,0.573204133,0.954232548,0.287410026,2.682269562,1.675316676,1.937758741,2.008826221,2.660585286,0.156254263
0.555952547,0.139807767,0.045388092,11,1.592955094,9,0.647680409,0.99841136,0.507830177,0.594045127,3.789939236,0.390772588,-2.106951232,-0.685632697,-5.354917165
0.576422258,0.59775407,0.119280514,7,0.96834593,21,0.847662578,0.758905433,0.925306553,0.958092853,2.28255943,1.0855484,-0.396087617,0.120292251,-3.698198621
0.110714372,0.317523508,0.018101343,8,1.745534034,21,0.047762579,0.848996758,0.197880835,2.111399631,4.367438489,-1.987323213,-2.882663175,-2.228796229,-5.793567659
0.607718931,0.184088289,0.106601434,3,1.051634419,23,0.202475253,0.246146748,0.84775376,1.102127256,2.952852984,0.989832926,-1.1985375,0.625424065,-4.464888015
0.901113763,0.717340068,0.451335749,2,1.386878214,4,0.252506531,0.427476438,0.399612308,2.825924493,1.619220996,2.531913469,0.508661757,2.213020325,-2.281549562
0.644192583,0.499259658,0.217339235,12,0.542004933,6,0.843824005,0.453757943,0.71608358,2.313994468,1.529890739,1.858788449,2.151920031,2.061512477,-0.469161858
0.817692651,0.543784052,0.347352567,5,1.416780393,8,0.805920258,0.833519295,0.860397315,2.044732568,2.238597463,2.211740569,-0.300533564,1.223055545,-3.547174273
0.472030202,0.032973547,0.4559645,9,0.941934842,22,0.807289431,0.484835276,0.025905872,0.554303683,2.194293004,0.549993727,-1.739222349,-0.286731085,-2.143460211
0.537161999,0.704388209,0.82267521,8,1.864290394,8,0.423016252,0.87725085,0.98716087,0.541432533,2.46592855,0.399787268,-0.576302304,-0.481336933,-3.823171537
0.203389528,0.907019936,0.923395842,9,1.050393707,5,0.655465418,0.646586803,0.031459381,1.488696386,1.934152724,-1.251313089,-0.963193451,-1.720632602,-2.764526607
0.696257088,0.039233181,0.426951601,2,1.851933257,17,0.192188785,0.490905828,0.232103057,1.552257869,2.893168133,1.396511376,-1.264144178,0.849675482,-4.33197526
0.037237255,0.205577608,0.133740531,4,1.808322883,9,0.503812836,0.428518062,0.468340004,2.453675717,4.531094913,-2.028550126,-2.909250611,-2.881422132,-6.054911315
0.365630474,0.196715207,0.814874484,4,1.602258332,16,0.862956921,0.650777126,0.406272921,0.885560011,3.293033591,-0.229947212,-1.593530983,-1.389983755,-4.807488464
0.863563052,0.833582113,0.426253184,6,1.065197655,10,0.5004837,0.087297199,0.897647619,2.356012779,1.589586838,2.435047882,0.720774743,1.644373258,-2.44118466
0.042386825,0.615997174,0.838961619,12,1.929177267,23,0.687775829,0.920104166,0.729072702,2.458799465,3.60093961,-1.960767694,-1.779303818,-3.009064481,-5.067119946
0.749965727,0.901152689,0.118898304,5,1.627854596,13,0.908105311,0.631478937,0.419050468,1.617282048,2.131894623,1.797608112,-0.210582073,0.735283297,-3.423395286
0.687464746,0.596587288,0.95822098,13,0.767680827,20,0.740790889,0.529079707,0.309219045,1.703009532,1.239137944,1.723884421,1.410438169,1.18604941,-0.952695752
0.614960521,0.142469228,0.733136994,4,1.678114408,7,0.251311367,0.025400943,0.708422226,0.979528907,2.735108208,1.00734426,-1.008948961,0.317305132,-4.149206961
0.651713295,0.522897086,0.371246038,3,1.497539957,23,0.32480642,0.876709075,0.473728566,1.190678135,2.629686901,1.23077768,-0.813579001,0.4846055,-4.050810373
0.309295009,0.606578258,0.632893871,12,1.510809201,20,0.96869189,0.435627944,0.718326839,1.390091982,3.38736838,-0.80011545,-1.597330436,-2.029340681,-4.902928213
0.957836599,0.007358239,0.295385631,8,1.140806395,8,0.406647835,0.051533141,0.268955497,2.615072371,2.398334143,2.637684699,-0.746885006,1.92372324,-3.723388886
0.836167259,0.159252035,0.090442335,13,1.579612221,5,0.487441264,0.86886294,0.794034149,1.484763954,3.144945771,1.507694101,-1.387167889,0.66293872,-4.660150218
0.869635573,0.769357716,0.296506656,10,1.387624998,11,0.721296273,0.651608287,0.834692556,1.878179182,2.229169443,2.007268983,-0.248513917,0.958081605,-3.544853892
0.85897592,0.71432029,0.252996391,8,0.677166601,12,0.317103552,0.596090406,0.172289893,3.213652829,1.516751209,2.438680126,1.803248722,3.557905121,0.29411812
0.335204212,0.715007672,0.176647194,8,1.492034614,3,0.589419162,0.008186317,0.000448472,1.084786981,3.147384803,-0.729136212,-2.295565867,-1.389571922,-3.995628189
0.130229934,0.283190252,0.090046018,8,0.769970667,6,0.530117502,0.68030409,0.412455134,0.984848028,1.699305319,-1.480194898,-0.509821181,-0.03074635,-2.650240276
0.515021775,0.081405019,0.234138292,5,1.321406548,14,0.655712304,0.641774525,0.419029795,0.584325293,3.633721477,0.515732881,-1.957980317,-0.553039791,-5.194406466
0.146218744,0.884952919,0.193945814,5,1.302108192,17,0.909035113,0.119941345,0.393454771,1.944345516,3.417761056,-1.365603246,-1.751477988,-2.555438535,-4.950538747
0.022881461,0.417530609,0.37268042,12,0.772471175,13,0.263897989,0.341894635,0.341241654,1.403402199,1.703987573,-2.043286445,-0.417522545,-0.074060593,-2.758605479
0.637988345,0.763880204,0.562677386,8,1.341770715,23,0.11471106,0.41006659,0.886831597,0.863806398,2.532310522,0.846509206,-0.637640299,0.258155982,-3.925469657
0.64591976,0.45674714,0.154352229,10,0.626593553,8,0.39051021,0.138471034,0.991521216,2.188591052,1.670240214,1.054082147,1.25225453,2.575840147,-1.096554082
0.440656319,0.104155372,0.493861151,10,1.8481841,10,0.546072313,0.178681371,0.525229504,0.744891677,3.63942537,-0.139946105,-1.965809361,-1.157276655,-5.18670578
0.841666407,0.446706175,0.701913962,3,0.98942808,18,0.757347402,0.102061194,0.518538424,2.606960374,1.394930369,2.68108513,0.953072335,1.873556715,-2.153906532
0.492118618,0.926663042,0.132647461,13,1.476069438,19,0.184854023,0.266515897,0.698773166,0.641103115,3.090422868,-0.160465697,-1.320327778,-0.894153277,-4.627701634
0.88723813,0.303600105,0.663615353,5,1.856388772,19,0.47166807,0.726545208,0.034757102,2.444497437,1.955039062,2.556057409,-0.324181254,1.724686132,-3.050784301
0.48338946,0.854950768,0.297167326,8,1.859368809,17,0.468663196,0.305058962,0.380747316,0.557084071,2.761533021,0.159965602,-1.00905132,-0.846023056,-4.222121996
0.675938983,0.001748706,0.53733077,11,0.526239167,18,0.484069201,0.726323418,0.668606129,2.450498315,1.384899774,2.030693581,1.763672315,2.641768356,-1.317042186
0.367137861,0.021017772,0.88642139,7,1.317528164,4,0.730720471,0.818027297,0.023263146,0.938569639,3.351717669,-0.460289386,-2.147402018,-1.263557346,-4.564200703
0.827145861,0.046857767,0.148486426,8,0.936865284,5,0.379260526,0.42288147,0.373746372,2.347817792,1.678379393,1.98372578,-0.241119825,2.173657677,-2.700600663
0.407074186,0.215049637,0.60626965,6,0.908380193,13,0.487397013,0.339433409,0.166631628,0.480710375,1.662381516,0.257660442,-0.629038872,0.013057461,-2.462850502
0.74197976,0.346911527,0.836991625,2,0.968788767,9,0.635477388,0.628924725,0.997602646,2.179238356,1.47392745,2.128673215,0.878505518,1.537233022,-2.165810561
0.943693402,0.700257118,0.625565546,11,1.848911872,22,0.175989026,0.143966827,0.975094793,2.234993689,2.097343439,2.218319873,-0.073509995,1.627659996,-3.343159607
0.467197271,0.902325095,0.970017816,13,0.653405374,15,0.982187434,0.673683288,0.373449084,1.245463935,1.643126507,0.937674881,2.217289377,0.870195421,-0.307710568
0.376057011,0.461919718,0.984738163,3,1.062352987,7,0.694275416,0.842819166,0.501565201,0.705566895,2.195752932,-0.080333526,-0.478074471,-0.949686454,-3.490441084
0.667836734,0.800905413,0.779228978,6,1.854077471,14,0.582642436,0.824257675,0.527455038,1.126258307,2.037959534,1.262742035,-0.046327122,0.268590521,-3.284532718
0.735370893,0.119343118,0.121626855,8,1.204714301,23,0.587435515,0.814789659,0.526076156,1.290528673,3.450890467,1.405632102,-1.743372111,0.422309871,-5.006511301
0.450139564,0.029710741,0.664912233,13,1.870529509,2,0.340230673,0.435122768,0.952243839,0.775794541,3.600797997,-0.422505982,-2.091737651,-0.963994696,-5.108249271
0.504774531,0.432000962,0.326508,5,0.937314139,3,0.869009212,0.315692266,0.90619453,0.98272689,1.738095824,0.380458451,-0.151972659,0.676335069,-2.829804395
0.702617932,0.974205878,0.707818973,12,1.359324498,4,0.358977394,0.696411317,0.433130449,0.950496071,1.973461075,0.917296273,-0.073125381,0.185480445,-3.182761627
0.406164718,0.093011747,0.045836126,4,0.789631634,2,0.45110194,0.041865594,0.853678735,1.320666739,2.301379888,-0.470889526,-0.664793298,1.948930815,-2.072349533
0.641198108,0.895384484,0.92138646,2,1.788299165,5,0.197792791,0.308153983,0.92817327,1.283762716,1.700435389,1.082361562,0.334222272,0.549179693,-2.514504511
0.002282787,0.800569588,0.841979246,8,1.0541078,13,0.632527191,0.940396736,0.989584401,2.360043856,2.771488922,-1.941402372,-0.859071666,-2.850486311,-4.016033371
0.178418384,0.263335051,0.941151169,4,1.651653705,23,0.566775488,0.764058266,0.007912398,1.7552096,3.352457604,-1.277135335,-2.165326623,-2.273741187,-4.48948224
0.220905099,0.602686288,0.75946213,11,1.446840958,12,0.903802073,0.438240788,0.913457052,1.697174333,3.371648056,-1.157936534,-1.587482859,-2.273457106,-4.832720965
0.777907478,0.016937509,0.795946949,9,1.188084633,21,0.474188458,0.547890185,0.027328776,1.466936962,2.607401893,1.570926411,-1.256751117,0.638445904,-3.790325087
0.165945558,0.822041681,0.525975573,7,0.508866849,14,0.919988237,0.106176482,0.506868004,0.871914388,1.542868915,-0.000191995,2.135931457,0.823855273,-0.544752477
0.339716764,0.940594387,0.675259462,12,1.606020223,15,0.866717489,0.471346491,0.597415778,1.239357299,2.868727448,-0.655648507,-1.064973479,-1.825358548,-4.334010322
0.875534934,0.565979281,0.046602363,5,0.718319768,15,0.958445734,0.741546738,0.472352416,3.397848511,1.431797567,3.370058495,1.819938835,2.796095888,-1.016611792
0.433555651,0.183699053,0.287723562,13,1.198112762,10,0.882520649,0.264365483,0.644634791,0.899032232,3.817647957,-0.276831219,-2.135979445,-1.433671621,-5.370247744
0.002247684,0.492986306,0.023279993,5,0.762908773,15,0.930874596,0.478577748,0.905296878,1.115907314,1.912661673,-1.047134136,-0.02462206,-1.163820258,-3.165938198
0.328481246,0.050883573,0.725111291,5,1.516916149,13,0.442896391,0.656302122,0.625049906,1.030212423,3.666187357,-0.520216078,-1.953218244,-1.474388919,-5.211019966
0.043171348,0.814865622,0.770340223,13,1.203991475,10,0.642444524,0.947922389,0.762206742,2.459206974,3.398209279,-1.96172978,-1.625971912,-2.967829138,-4.852960622
0.986842893,0.634619643,0.690245015,12,1.235854784,4,0.737146634,0.975285515,0.474462743,2.330819646,1.815896603,2.369782746,0.206061382,1.484494343,-2.908585314
0.40934914,0.737806402,0.590512387,2,1.820394494,20,0.667132913,0.897991726,0.327490303,0.687357748,2.612178207,-0.044939282,-0.789253934,-1.072371607,-3.931451766
0.604828734,0.631951539,0.026275329,5,1.151052822,23,0.758083559,0.246038507,0.367673758,0.830617136,2.864171858,0.929764186,-1.200601602,-0.144082333,-4.311046367
0.888601296,0.830900281,0.772357025,13,1.235082647,12,0.778801957,0.417058152,0.140398037,1.675859224,1.801636607,1.784661098,0.096574936,0.687195725,-2.886877727
0.927930408,0.601793036,0.392352625,12,1.596181074,2,0.234823902,0.208113223,0.623670964,2.07433563,2.118674288,2.017288585,-0.248857478,1.48480642,-3.168763403
0.746943152,0.060670518,0.423626874,13,1.029965562,16,0.453455828,0.481498148,0.56038367,1.237418684,2.582793734,1.284712493,-0.839328747,0.488742806,-4.031600716
0.389091983,0.280576834,0.12140655,6,0.853776401,4,0.082712436,0.486617162,0.439212992,1.205232416,1.795659487,-0.674265939,-0.435397209,1.761256954,-2.796215847
0.348099235,0.702094818,0.767978101,13,1.930811059,20,0.707611187,0.888560807,0.722553959,1.231262239,3.131930182,-0.684047166,-1.281826457,-1.810670907,-4.579388952
0.583958226,0.540187439,0.556268221,5,0.915319123,10,0.593549509,0.957434354,0.972080619,1.318613155,1.540804561,1.276091408,0.642691988,0.742624874,-2.431167869
0.344476709,0.903397347,0.118786391,13,1.501049398,23,0.840697326,0.077043318,0.685772683,1.271845359,3.457522255,-0.708338963,-1.728249653,-1.86888599,-5.040277981
0.686942497,0.511217756,0.875134625,3,0.524732816,19,0.282300843,0.131236315,0.434889798,3.048541438,2.105936779,2.005556144,2.806539904,3.880959119,0.23656648
0.376942101,0.672675124,0.148894639,6,1.292663401,14,0.484504235,0.715514851,0.266304866,0.84449603,3.241295588,-0.293310862,-1.591690655,-1.287277986,-4.708325235
0.525984877,0.141904957,0.398017836,12,0.568037588,18,0.673012266,0.603191944,0.735562622,1.655817341,1.311211617,1.545584909,1.422975496,1.467120371,-1.747498141
0.678637714,0.192136483,0.544391003,3,0.880233251,21,0.44345713,0.897438364,0.896002322,1.992039003,1.696758109,1.823430886,0.45245399,1.725550315,-2.820756178
0.738203361,0.575953324,0.579925547,13,1.635173127,18,0.599613429,0.248786279,0.55851245,0.994883638,2.620193396,1.06085223,-0.785283684,-0.008537827,-4.064396119
0.609607423,0.650634154,0.290407567,2,1.331666401,18,0.808138598,0.013346232,0.366843858,0.994526597,2.466007925,1.053390782,-0.715073243,0.094087311,-3.861909995
0.915589336,0.148714384,0.339562773,5,0.774330074,14,0.105424677,0.134586459,0.679044504,3.620600937,1.321704145,2.700633997,1.461716108,4.380951835,-1.609826582
0.439654329,0.740057711,0.35542464,2,1.208021351,14,0.071260886,0.170221332,0.053809517,0.681950833,2.62234313,-0.088636294,-1.276679173,-0.577699203,-3.74905139
0.900928304,0.548381013,0.421184877,3,0.658878364,20,0.438454315,0.601094277,0.320455853,3.826702599,1.855361006,3.352403503,2.355487563,3.901754035,0.07286787
0.427309515,0.23800615,0.75666928,10,1.91957083,6,0.605769563,0.152175873,0.271163281,0.797044767,3.24777213,-0.238258942,-1.714356808,-1.160216497,-4.555437025
0.120531849,0.803889147,0.17402041,8,1.001888665,20,0.198055448,0.523387078,0.690910019,1.618064959,2.802498507,-1.690065168,-1.048666748,-1.337910862,-4.281971526
0.775755501,0.265470212,0.100943262,11,1.451979185,11,0.308635106,0.837260613,0.564074721,1.354387879,3.119382776,1.408352327,-1.357997904,0.594944524,-4.661975541
0.748514257,0.763422307,0.627814489,5,1.306410812,4,0.280709404,0.770520737,0.92392524,1.680245884,1.855372074,1.708424708,0.151014054,1.08425955,-2.989749576
0.403812298,0.635047864,0.304411803,11,0.870390101,18,0.871283872,0.74344198,0.346226231,0.498858297,1.613980749,0.489865198,0.066522192,-0.437508441,-2.611576414
0.751042654,0.044488251,0.966308336,6,1.943377909,21,0.732805393,0.477935997,0.770206369,1.506999585,2.707107667,1.652706779,-0.816253591,0.619123193,-4.078660667
0.723806064,0.404816082,0.152981813,8,0.515170982,7,0.001173432,0.434805874,0.257973349,3.499259053,1.281308419,0.65473702,1.448445752,5.656130697,0.070949984
0.76482096,0.707135834,0.170963352,8,1.096527244,7,0.122788831,0.300019013,0.512133901,1.553791564,2.083131818,1.53532498,-0.284533623,1.053101763,-3.397727411
0.441458169,0.860129509,0.437911452,7,1.096301624,11,0.193314641,0.624226377,0.738571472,0.572570817,2.501226165,-0.113586202,-0.685503854,-0.774229755,-3.862476468
0.244755572,0.816462331,0.829985935,6,0.733971841,6,0.522995676,0.862695753,0.124747988,0.801148893,0.773684532,-0.862553025,0.622862937,0.642178164,-0.077479683
0.240548383,0.632470004,0.878708373,6,1.766043653,6,0.800511346,0.309735415,0.637331237,1.500929827,2.951391718,-0.97598848,-1.259907243,-1.957592087,-4.418115835
0.115089337,0.465810631,0.957007329,8,0.600826515,15,0.101384422,0.755350532,0.697288309,1.989012843,1.271471131,-2.187821414,1.557055645,2.42548024,-1.509102719
0.997682461,0.004839344,0.44232495,11,1.703839178,8,0.526033412,0.191783173,0.411201262,2.501811946,2.499006746,2.558548981,-0.688148492,1.676319914,-3.889042523
